STATION,DATE,LATITUDE,LONGITUDE,temperature,wind_speed
1001099999,2025-01-09T15:00:00,70.9333333,-8.6666667,-0.7,4.0
1001099999,2025-01-09T18:00:00,70.9333333,-8.6666667,-2.5,5.5
1001099999,2025-01-10T00:00:00,70.9333333,-8.6666667,-7.2,13.0
1001099999,2025-01-10T03:00:00,70.9333333,-8.6666667,-9.0,10.6
1001099999,2025-01-10T06:00:00,70.9333333,-8.6666667,-10.4,9.0
1001099999,2025-01-10T09:00:00,70.9333333,-8.6666667,-11.6,8.0
1001099999,2025-01-10T11:00:00,70.9333333,-8.6666667,-12.7,6.7
1001099999,2025-01-10T12:00:00,70.9333333,-8.6666667,-12.9,7.0
1001099999,2025-01-10T15:00:00,70.9333333,-8.6666667,-12.7,2.0
1001099999,2025-01-10T18:00:00,70.9333333,-8.6666667,-12.5,3.0
1001099999,2025-01-10T21:00:00,70.9333333,-8.6666667,-12.2,1.3
1001099999,2025-01-11T00:00:00,70.9333333,-8.6666667,-11.9,1.9
1001099999,2025-01-11T03:00:00,70.9333333,-8.6666667,-11.7,0.9
1001099999,2025-01-11T06:00:00,70.9333333,-8.6666667,-11.0,3.0
1001099999,2025-01-11T09:00:00,70.9333333,-8.6666667,-11.1,1.0
1001099999,2025-01-11T12:00:00,70.9333333,-8.6666667,-10.7,2.0
1001099999,2025-01-11T15:00:00,70.9333333,-8.6666667,-10.4,2.0
1001099999,2025-01-11T18:00:00,70.9333333,-8.6666667,-10.0,0.7
1001099999,2025-01-11T21:00:00,70.9333333,-8.6666667,-9.0,2.2
1001099999,2025-01-12T00:00:00,70.9333333,-8.6666667,-8.2,2.2
1001099999,2025-01-12T03:00:00,70.9333333,-8.6666667,-6.4,3.8
1001099999,2025-01-12T06:00:00,70.9333333,-8.6666667,-5.4,6.0
1001099999,2025-01-12T09:00:00,70.9333333,-8.6666667,-4.7,9.0
1001099999,2025-01-12T12:00:00,70.9333333,-8.6666667,-3.8,8.0
1001099999,2025-01-12T15:00:00,70.9333333,-8.6666667,-2.4,11.0
1001099999,2025-01-12T18:00:00,70.9333333,-8.6666667,-0.2,13.3
1001099999,2025-01-12T21:00:00,70.9333333,-8.6666667,0.2,12.8
1001099999,2025-01-13T00:00:00,70.9333333,-8.6666667,1.7,12.7
1001099999,2025-01-13T03:00:00,70.9333333,-8.6666667,2.5,9.8
1001099999,2025-01-13T06:00:00,70.9333333,-8.6666667,-0.1,10.0
1001099999,2025-01-13T09:00:00,70.9333333,-8.6666667,-1.8,13.0
1001099999,2025-01-13T12:00:00,70.9333333,-8.6666667,-1.5,9.0
1001099999,2025-01-13T15:00:00,70.9333333,-8.6666667,-1.7,8.0
1001099999,2025-01-13T18:00:00,70.9333333,-8.6666667,-1.2,2.6
1001099999,2025-01-13T21:00:00,70.9333333,-8.6666667,-1.2,3.8
1001099999,2025-01-14T00:00:00,70.9333333,-8.6666667,-1.5,1.5
1001099999,2025-01-14T03:00:00,70.9333333,-8.6666667,-1.5,2.1
1001099999,2025-01-14T06:00:00,70.9333333,-8.6666667,-1.3,6.0
1001099999,2025-01-14T09:00:00,70.9333333,-8.6666667,-0.9,7.0
1001099999,2025-01-14T12:00:00,70.9333333,-8.6666667,0.0,9.0
1001099999,2025-01-14T15:00:00,70.9333333,-8.6666667,0.0,4.0
1001099999,2025-01-14T18:00:00,70.9333333,-8.6666667,0.5,6.3
1001099999,2025-01-14T21:00:00,70.9333333,-8.6666667,0.6,8.0
1001099999,2025-01-15T00:00:00,70.9333333,-8.6666667,0.2,8.4
1001099999,2025-01-15T03:00:00,70.9333333,-8.6666667,1.2,1.7
1001099999,2025-01-15T06:00:00,70.9333333,-8.6666667,0.3,4.0
1001099999,2025-01-15T09:00:00,70.9333333,-8.6666667,0.8,3.0
1001099999,2025-01-15T12:00:00,70.9333333,-8.6666667,0.7,8.0
1001099999,2025-01-15T15:00:00,70.9333333,-8.6666667,-0.1,9.0
1001099999,2025-01-15T18:00:00,70.9333333,-8.6666667,-1.2,10.1
1001099999,2025-01-15T21:00:00,70.9333333,-8.6666667,-1.7,6.7
1001099999,2025-01-16T00:00:00,70.9333333,-8.6666667,-2.5,4.8
1001099999,2025-01-16T03:00:00,70.9333333,-8.6666667,-3.4,5.4
1001099999,2025-01-16T06:00:00,70.9333333,-8.6666667,-3.4,5.0
1001099999,2025-01-16T09:00:00,70.9333333,-8.6666667,-3.2,5.0
1001099999,2025-01-16T12:00:00,70.9333333,-8.6666667,-3.0,5.0
1001099999,2025-01-16T15:00:00,70.9333333,-8.6666667,-2.3,7.0
1001099999,2025-01-16T18:00:00,70.9333333,-8.6666667,-2.0,6.6
1001099999,2025-01-16T21:00:00,70.9333333,-8.6666667,-2.9,12.0
1001099999,2025-01-17T00:00:00,70.9333333,-8.6666667,-4.4,16.1
1001099999,2025-01-17T03:00:00,70.9333333,-8.6666667,-5.5,17.4
1001099999,2025-01-17T06:00:00,70.9333333,-8.6666667,-6.0,15.0
1001099999,2025-01-17T09:00:00,70.9333333,-8.6666667,-7.4,13.0
1001099999,2025-01-17T12:00:00,70.9333333,-8.6666667,-8.4,7.0
1001099999,2025-01-17T15:00:00,70.9333333,-8.6666667,-9.7,12.0
1001099999,2025-01-17T18:00:00,70.9333333,-8.6666667,-10.7,15.6
1001099999,2025-01-17T21:00:00,70.9333333,-8.6666667,-8.9,16.4
1001099999,2025-01-18T00:00:00,70.9333333,-8.6666667,-7.0,12.3
