"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","OD2","REM","EQD"
"01089099999","2025-08-03T14:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","010,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0150,1","+0118,1","10176,1",,,,,,,,,"240,M,+0156,1","240,N,+0149,1","99999,9,10074,1","4,1,000,1,+999,9",,,,"3,99,0070,1,999",,"SYN07601089 46/// /0105 10150 20118 30074 40176 54000 333 10156 20149 90710 91107=",
"01089099999","2025-08-03T14:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,V,0046,1","00305,1,C,N","009999,1,9,9","+0140,1","+0120,1","99999,9",,,,"07,1,+00305,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00305,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET082METAR ENKR 031420Z 06009KT 030V090 9999 BKN010 14/12 Q1017 RMK WIND 731FT 06012KT=",
"01089099999","2025-08-03T14:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0046,1","00244,1,9,N","009999,1,9,9","+0140,1","+0120,1","99999,9",,,,"02,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET081METAR ENKR 031450Z 07009KT 9999 FEW005 BKN008 14/12 Q1017 RMK WIND 731FT 07015KT=",
"01089099999","2025-08-03T15:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","040,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0138,1","+0115,1","10180,1",,,,,,,,,"240,M,+0149,1","240,N,+0134,1","99999,9,10077,1","3,1,002,1,+999,9",,,,"3,99,0070,1,999",,"SYN07601089 46/// /0404 10138 20115 30077 40180 53002 333 10149 20134 90710 91107=",
"01089099999","2025-08-03T15:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0051,1","00213,1,9,N","009999,1,9,9","+0140,1","+0120,1","99999,9",,,,"04,1,+00152,1,99,9","07,1,+00213,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00152,1,99,9,99,9",,,"10180,1,99999,9",,,,,,,"MET081METAR ENKR 031520Z 06010KT 9999 SCT005 BKN007 14/12 Q1018 RMK WIND 731FT 09013KT=",
"01089099999","2025-08-03T15:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0041,1","00183,1,9,N","009999,1,9,9","+0130,1","+0120,1","99999,9",,,,"04,1,+00122,1,99,9","07,1,+00183,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00122,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET081METAR ENKR 031550Z 06008KT 9999 SCT004 BKN006 13/12 Q1017 RMK WIND 731FT 07012KT=",
"01089099999","2025-08-03T16:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","050,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0129,1","+0115,1","10179,1",,,,,,,,,"240,M,+0141,1","240,N,+0129,1","99999,9,10075,1","9,9,001,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0504 10129 20115 30075 40179 50001 333 10141 20129 90710 91106=",
"01089099999","2025-08-03T16:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0046,1","00152,1,9,N","009999,1,9,9","+0130,1","+0110,1","99999,9",,,,"04,1,+00091,1,99,9","07,1,+00152,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00091,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET081METAR ENKR 031620Z 06009KT 9999 SCT003 BKN005 13/11 Q1017 RMK WIND 731FT 07014KT=",
"01089099999","2025-08-03T16:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,V,0031,1","00122,1,9,N","009999,1,9,9","+0130,1","+0120,1","99999,9",,,,"04,1,+00091,1,99,9","07,1,+00122,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00091,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET089METAR ENKR 031650Z 06006KT 030V090 9999 SCT003 BKN004 13/12 Q1017 RMK WIND 731FT 08012KT=",
"01089099999","2025-08-03T17:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","050,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0122,1","+0114,1","10175,1",,,,,,,,,"240,M,+0129,1","240,N,+0121,1","99999,9,10071,1","8,1,002,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0504 10122 20114 30071 40175 58002 333 10129 20121 90710 91106=",
